"ID";"RegioS";"Perioden";"PrijsindexVerkoopprijzen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"VerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"1253";"PV24  ";"2009JJ00";"114.8";"-3.1";"-3.1";"3056";"-34.7";"-34.7";"205904";"629"
"1258";"PV24  ";"2010JJ00";"111.7";"-2.7";"-2.7";"2699";"-11.7";"-11.7";"206530";"557"
"1263";"PV24  ";"2011JJ00";"108.7";"-2.7";"-2.7";"2576";"-4.6";"-4.6";"199148";"513"
"1268";"PV24  ";"2012JJ00";"103";"-5.3";"-5.3";"2564";"-0.5";"-0.5";"189322";"485"
"1273";"PV24  ";"2013JJ00";"97.8";"-5.1";"-5.1";"2508";"-2.2";"-2.2";"178294";"447"
"1278";"PV24  ";"2014JJ00";"98.6";"0.9";"0.9";"3367";"34.3";"34.3";"188445";"634"
"1283";"PV24  ";"2015JJ00";"100";"1.4";"1.4";"4020";"19.4";"19.4";"194188";"781"
"1288";"PV24  ";"2016JJ00";"104.8";"4.8";"4.8";"5165";"28.5";"28.5";"204317";"1055"
"1293";"PV24  ";"2017JJ00";"113.5";"8.3";"8.3";"6426";"24.4";"24.4";"226753";"1457"
"1298";"PV24  ";"2018JJ00";"126.2";"11.2";"11.2";"5739";"-10.7";"-10.7";"253875";"1457"
"1303";"PV24  ";"2019JJ00";"137.7";"9";"9";"6326";"10.2";"10.2";"269589";"1705"
"1308";"PV24  ";"2020JJ00";"150.7";"9.5";"9.5";"6539";"3.4";"3.4";"301754";"1973"
"1364";"PV25  ";"2005JJ00";"112.5";"3.2";"3.2";"23048";"9.2";"9.2";"236534";"5452"
"1369";"PV25  ";"2006JJ00";"117.6";"4.6";"4.6";"23479";"1.9";"1.9";"248968";"5846"
"1374";"PV25  ";"2007JJ00";"122.2";"3.8";"3.8";"21961";"-6.5";"-6.5";"261513";"5743"
